Questions,OK,OK,OK,OK,Ok,OK,We can put volumes?,OK,OK,OK,OK,OK,OK,OK,"In this case, We need to use the generic degree abbreviation or We can more specific? Do you have some list of official abbreviations?",What is the correct number for El Colegio de México? 2063 or 2069,We can insert the Research Centers?,OK,OK,OK
PROQUEST,DISS_submission,,,DISS_authorship,DISS_name,,DISS_description,,,,DISS_title,DISS_dates,,DISS_categorization,,,,,,
,publishing_option0attribute,embargo_code attribute:,third_party_search attribute,DISS_author type,DISS _surname,DISS_name,page_count attribute,type attribute,external_id,apply_for_copyright attribute,DISS_title,DISS_comp_date,DISS_categorization,DISS_language,type attribute,DISS_inst_code,DISS_inst_name,DISS_processing_code,DISS_binary_type,DISS_binary
,0,0,Y,primary,Staples,Anne,229,doctoral,ECM01:990001157900302716,no,"La cola del diablo en la vida conventual: los conventos de monjas del Arzobispado de México, 1823-1835",1970,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,staples_a_000310747.pdf
,0,0,Y,primary,Kobayashi H.,José María F. Kazuhiro,2 volumes,doctoral,ECM01:990000767870302716,no,La educación como conquista: empresa franciscana en México,1972,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,kobayashi_jm_000321624.pdf
,0,0,Y,primary,Trabulse Atala,Elías,2 volumes,doctoral,ECM01:990001544360302716,no,Ciencia y religión en el siglo XVII,1973,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,trabulse_e_000396942.pdf
,0,0,Y,primary,Krauze,Enrique,4 volumes,doctoral,ECM01:990002644840302716,no,Los siete sobre México,1974,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,krauze_e_000391870.pdf
,0,0,Y,primary,Aguilar Camín,Héctor,2 volumes,doctoral,ECM01:990002560630302716,no,"La revolución sonorense, 1910-1914",1975,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,aguilar_h_000394078.pdf
,0,0,Y,primary,Tanck de Estrada,Dorothy,343,doctoral,ECM01:990000958740302716,no,"La educación primaria en la ciudad de México, 1786-1836",1975,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,tanck_d_000396630.pdf
,0,0,Y,primary,Garciadiego Dantán,Javier,"x, 393 ",doctoral,ECM01:990001412090302716,no,"Revolución constitucionalista y contrarrevolución: movimientos reaccionarios en México, 1914-1920",1981,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,garciadiego_J_000314242.pdf
,0,0,Y,primary,Oñate Villarreal,Abdiel,"xiii, 341 ",doctoral,ECM01:990000803480302716,no,"Banca y agricultura en México: la caja de préstamos para obras de irrigación y fomento de la agricultura, 1908-1926",1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,oate_a_000419248.pdf
